_date,total_clones,unique_clones
2021-02-15,5,4
2021-02-16,10,7
2021-02-17,7,7
2021-02-18,5,5
2021-02-19,5,5
2021-02-20,1,1
2021-02-21,6,5
2021-02-22,5,4
2021-02-23,3,3
2021-02-24,6,5
2021-02-25,1,1
2021-02-26,6,4
2021-02-27,1,1
2021-02-28,2,2
